,diet,lat,lon,nz,site
000001216.1075960,Vegetarian,35.7,-78.7,491,UBERON:feces
000001218.1075754,Omnivore,35.9,-78.7,466,UBERON:feces
000001221.1075847,Omnivore,35.1,-80.7,370,UBERON:feces
000001225.1076080,Omnivore,35.4,-77.4,167,UBERON:feces
000001228.1076081,Vegetarian but eat seafood,35.5,-82.5,183,UBERON:feces
000001231.1076067,Omnivore,34.9,-82.5,460,UBERON:feces
000001232.1053811,Omnivore,35.0,-82.3,6,UBERON:feces
000001232.1130035,Omnivore,35.0,-82.3,211,UBERON:feces
000001234.fixed278,Omnivore,33.8,-84.3,440,UBERON:feces
000001238.1076317,Omnivore,33.8,-84.3,4,UBERON:feces
000001240.1053777,Omnivore,33.9,-83.3,426,UBERON:feces
000001241.1130571,Omnivore but no red meat,33.9,-83.4,1,UBERON:feces
000001243.1053840,Omnivore but no red meat,29.8,-81.3,814,UBERON:feces
000001244.1076467,Omnivore,29.6,-81.2,256,UBERON:feces
000001247.fixed664,Omnivore,29.6,-82.3,712,UBERON:feces
000001248.1075959,Vegan,28.7,-81.4,172,UBERON:feces
000001249.1213076,Omnivore,28.5,-81.5,1,UBERON:feces
000001252.1076247,Omnivore,28.3,-80.7,314,UBERON:feces
000001253.1076218,Omnivore,28.3,-80.7,268,UBERON:feces
000001255.1076444,Vegetarian but eat seafood,25.8,-80.1,717,UBERON:feces
000001256.1075816,Omnivore,26.1,-80.1,193,UBERON:feces
000001263.1076271,Omnivore,27.9,-82.5,336,UBERON:feces
000001265.1075808,Vegetarian but eat seafood,27.7,-82.6,1,UBERON:feces
000001265.1130404,Vegetarian but eat seafood,27.7,-82.6,273,UBERON:feces
000001267.1076341,no_data,27.9,-81.8,470,UBERON:feces
000001269.1075870,Omnivore,26.5,-81.8,303,UBERON:feces
000001270.1075957,Omnivore,26.4,-81.8,1,UBERON:feces
000001270.1130465,Omnivore,26.4,-81.8,324,UBERON:feces
000001271.1262062,Omnivore,27.5,-82.4,12,UBERON:feces
000001275.1075779,Omnivore,27.1,-80.2,92,UBERON:feces
000001278.1076000,Omnivore,33.7,-85.9,254,UBERON:feces
000001281.1076476,Omnivore,35.9,-87.0,539,UBERON:feces
000001282.1212979,Omnivore,36.3,-86.6,281,UBERON:feces
000001284.1075931,Omnivore,35.8,-86.1,297,UBERON:feces
000001285.1075917,Omnivore,36.1,-86.7,576,UBERON:feces
000001286.1076166,Omnivore,35.7,-84.0,511,UBERON:feces
000001288.1075748,Omnivore,36.2,-85.4,519,UBERON:feces
000001291.1075802,Omnivore,38.3,-85.6,186,UBERON:feces
000001294.1075823,Omnivore,37.8,-82.9,285,UBERON:feces
000001299.1283119,Omnivore,41.6,-83.7,761,UBERON:feces
000001301.1075982,Omnivore,41.1,-81.8,268,UBERON:feces
000001302.1210574,Omnivore,41.0,-81.4,249,UBERON:feces
000001303.1075744,Omnivore,39.2,-84.2,1,UBERON:feces
000001305.1075908,Omnivore,39.6,-84.2,281,UBERON:feces
000001311.1075813,Omnivore,39.4,-86.2,327,UBERON:feces
000001312.1075776,Omnivore,39.8,-86.3,247,UBERON:feces
000001315.1130498,Omnivore,38.1,-86.0,309,UBERON:feces
000001317.1075937,Omnivore,39.5,-87.3,257,UBERON:feces
000001321.1131558,Omnivore,42.5,-83.8,437,UBERON:feces
000001322.1075907,Omnivore,42.4,-83.4,398,UBERON:feces
000001325.1131964,Omnivore,42.4,-83.0,124,UBERON:feces
000001327.1213030,Omnivore,42.5,-83.3,279,UBERON:feces
000001328.1076289,Omnivore,42.6,-83.5,408,UBERON:feces
000001331.1076387,Omnivore,42.3,-84.4,391,UBERON:feces
000001332.1076408,Omnivore,41.8,-84.6,237,UBERON:feces
000001333.1076035,Omnivore,42.9,-85.6,222,UBERON:feces
000001334.1076230,Omnivore,44.7,-85.7,163,UBERON:feces
000001336.1075898,Omnivore,42.6,-92.5,575,UBERON:feces
000001344.1075861,Omnivore,43.0,-87.9,126,UBERON:feces
000001345.1130446,Vegetarian,43.0,-88.0,1,UBERON:feces
000001346.1257397,Omnivore,42.7,-89.0,230,UBERON:feces
000001347.1076248,Omnivore,43.2,-89.2,616,UBERON:feces
000001350.1076005,Omnivore,43.1,-89.4,277,UBERON:feces
000001351.1257220,Omnivore,44.7,-92.5,506,UBERON:feces
000001352.1212998,Omnivore,43.5,-88.8,337,UBERON:feces
000001353.1075797,Omnivore,44.5,-88.0,407,UBERON:feces
000001354.1075844,Omnivore,43.8,-91.2,407,UBERON:feces
000001360.1257329,Omnivore,45.0,-93.2,394,UBERON:feces
000001362.1075732,Omnivore,44.9,-92.9,567,UBERON:feces
000001363.1075838,Omnivore,45.1,-93.1,398,UBERON:feces
000001364.1075787,Omnivore,45.1,-93.1,340,UBERON:feces
000001367.1075806,Omnivore,44.8,-93.5,213,UBERON:feces
000001374.1076462,Omnivore,44.8,-93.3,337,UBERON:feces
000001375.1075804,Omnivore,45.0,-93.5,210,UBERON:feces
000001376.1131725,Omnivore,46.8,-96.8,115,UBERON:feces
000001377.1075825,Omnivore,44.5,-103.9,255,UBERON:feces
000001378.1053850,Omnivore,48.1,-103.7,613,UBERON:feces
000001379.1131813,Omnivore,45.5,-110.6,244,UBERON:feces
000001380.1076102,Omnivore,45.6,-108.4,415,UBERON:feces
000001384.1076438,Omnivore but no red meat,42.1,-88.0,271,UBERON:feces
000001386.1075775,Omnivore,42.2,-87.9,354,UBERON:feces
000001390.1130382,Omnivore,42.1,-88.0,381,UBERON:feces
000001391.1130053,Omnivore,42.0,-87.8,137,UBERON:feces
000001396.1131751,Vegetarian but eat seafood,41.9,-88.4,1,UBERON:feces
000001397.1075799,Omnivore,41.9,-88.0,423,UBERON:feces
000001398.1076066,Omnivore,41.9,-88.1,442,UBERON:feces
000001399.1075739,Omnivore,41.6,-87.8,298,UBERON:feces
000001400.1076345,Omnivore,41.6,-87.6,1,UBERON:feces
000001400.1283111,Omnivore,41.6,-87.6,678,UBERON:feces
000001401.1130254,Omnivore,41.7,-87.9,189,UBERON:feces
000001404.1075729,Omnivore,41.7,-88.1,240,UBERON:feces
000001405.1076109,Omnivore,41.7,-88.1,280,UBERON:feces
000001408.1213048,Omnivore,41.9,-87.7,528,UBERON:feces
000001410.1130108,Vegetarian,41.9,-87.6,529,UBERON:feces
000001411.1075848,Omnivore,41.9,-87.6,367,UBERON:feces
000001417.1075862,Omnivore,41.9,-87.8,97,UBERON:feces
000001419.1075726,Vegetarian but eat seafood,40.8,-89.7,2,UBERON:feces
000001419.1283110,Vegetarian but eat seafood,40.8,-89.6,284,UBERON:feces
000001422.1076098,Omnivore,38.8,-90.3,187,UBERON:feces
000001423.1076221,Omnivore,38.6,-90.3,403,UBERON:feces
000001427.1075893,Omnivore,38.8,-90.5,361,UBERON:feces
000001432.1076127,Vegetarian but eat seafood,39.2,-94.6,399,UBERON:feces
000001435.1075749,Vegan,38.9,-92.2,175,UBERON:feces
000001436.1075795,Omnivore,38.9,-92.2,522,UBERON:feces
000001438.1283122,Omnivore,39.0,-95.2,595,UBERON:feces
000001441.1213056,Omnivore,39.0,-94.6,481,UBERON:feces
