,diet,lat,lon,nz,site
000004077.1257447,Omnivore,35.6,-97.4,290,UBERON:feces
000004086.1213010,Vegetarian but eat seafood,34.2,-118.1,505,UBERON:feces
000004090.1213020,Omnivore,34.2,-118.1,488,UBERON:feces
000004139.1075994,Omnivore,37.9,-122.0,361,UBERON:feces
000004141.1076030,Omnivore,37.9,-122.0,505,UBERON:feces
000004142.1130104,Omnivore but no red meat,37.9,-122.0,504,UBERON:feces
000004144.1076152,Omnivore,49.3,-123.1,2,UBERON:feces
000004144.1130461,Omnivore,49.3,-123.1,344,UBERON:feces
000004145.1076463,Vegetarian but eat seafood,49.3,-123.1,278,UBERON:feces
000004147.1130208,Omnivore,49.3,-123.1,458,UBERON:feces
000004148.1130378,Omnivore,49.3,-123.1,515,UBERON:feces
000004157.1283109,Omnivore,40.8,-74.4,465,UBERON:feces
000004158.1075971,Omnivore,40.8,-74.4,441,UBERON:feces
000004159.1075855,Omnivore,40.8,-74.4,356,UBERON:feces
000004160.1075805,Omnivore,40.8,-74.4,439,UBERON:feces
000004161.1131516,Omnivore,40.8,-74.4,415,UBERON:feces
000004162.1130570,Omnivore,40.8,-74.4,377,UBERON:feces
000004163.1076174,Omnivore,40.8,-74.4,498,UBERON:feces
000004185.1076034,Omnivore,35.2,-86.5,357,UBERON:feces
000004187.1130137,Omnivore,35.2,-86.5,512,UBERON:feces
000004189.1075828,Omnivore,35.2,-86.5,205,UBERON:feces
000004190.1075945,Omnivore,35.2,-86.5,219,UBERON:feces
000004191.1075978,Omnivore,35.2,-86.5,166,UBERON:feces
000004192.1213137,Omnivore,32.8,-96.7,400,UBERON:feces
000004206.1053725,Omnivore but no red meat,30.3,-97.9,949,UBERON:hand
000004207.1076091,Omnivore but no red meat,30.3,-97.9,360,UBERON:feces
000004208.1131514,Omnivore but no red meat,30.3,-97.9,331,UBERON:tongue
000004213.1213120,Omnivore,40.0,-105.2,508,UBERON:feces
000004214.1212943,Omnivore,40.0,-105.2,548,UBERON:feces
000004215.1213063,Omnivore,40.0,-105.2,695,UBERON:feces
000004216.1212989,Omnivore,40.0,-105.2,457,UBERON:feces
000004218.1213002,Omnivore,40.0,-105.2,587,UBERON:feces
000004219.1213074,Omnivore,40.0,-105.2,429,UBERON:feces
000004220.1131867,Omnivore,36.0,-106.1,423,UBERON:feces
000004221.1075987,Omnivore,36.0,-106.1,241,UBERON:feces
000004222.1076082,Omnivore,36.0,-106.1,243,UBERON:feces
000004223.1075735,Omnivore,36.0,-106.1,471,UBERON:feces
000004224.1076052,Omnivore,36.0,-106.1,241,UBERON:feces
000004225.1131943,Omnivore,36.0,-106.1,396,UBERON:feces
000004226.1131698,Omnivore,36.0,-106.1,220,UBERON:feces
000004234.1075991,Omnivore,34.1,-118.4,590,UBERON:feces
000004236.1053845,Omnivore,34.1,-118.4,1026,UBERON:hand
000004237.1053855,Omnivore,34.1,-118.4,909,UBERON:hand
000004238.1053808,Omnivore,34.1,-118.4,496,UBERON:skin
000004239.1053920,Omnivore,34.1,-118.4,241,UBERON:tongue
000004241.1257474,Omnivore,37.4,-122.1,258,UBERON:feces
000004242.fixed271,Omnivore,37.4,-122.1,343,UBERON:feces
000004243.1261744,Omnivore,37.4,-122.1,596,UBERON:feces
000004245.fixed281,Omnivore,37.4,-122.1,69,UBERON:feces
000004249.fixed823,Omnivore,39.8,-105.0,555,UBERON:feces
000004250.fixed650,Omnivore,39.8,-105.0,515,UBERON:feces
000004265.1075958,Omnivore,42.7,-83.1,481,UBERON:feces
000004266.1076089,Omnivore but no red meat,42.7,-83.1,262,UBERON:feces
000004267.1075788,Omnivore,42.7,-83.1,151,UBERON:feces
000004272.1076219,Omnivore,42.7,-83.1,8,UBERON:feces
000004272.1283104,Omnivore,42.7,-83.1,268,UBERON:feces
000004273.1283108,Omnivore,30.4,-97.8,763,UBERON:feces
000004278.1130347,Omnivore,30.4,-97.8,312,UBERON:feces
000004280.1130502,Omnivore,30.4,-97.8,2,UBERON:feces
000004281.1076377,Omnivore,30.4,-97.8,676,UBERON:feces
000004282.1212961,Vegetarian,34.2,-118.1,607,UBERON:feces
000004283.1213125,Omnivore,34.2,-118.1,178,UBERON:feces
000004284.1213139,Omnivore,34.2,-118.1,330,UBERON:feces
000004285.1213110,Omnivore,34.2,-118.1,543,UBERON:feces
000004286.1213078,Vegetarian but eat seafood,34.2,-118.1,530,UBERON:feces
000004287.1213049,Vegetarian,34.2,-118.1,319,UBERON:feces
000004288.1213027,Omnivore,34.2,-118.1,358,UBERON:feces
000004289.1213106,Omnivore,34.2,-118.1,588,UBERON:feces
000004290.1212971,Omnivore,34.2,-118.1,494,UBERON:feces
000004294.1131799,Omnivore,37.8,-122.3,476,UBERON:feces
000004596.1131796,Omnivore,40.0,-105.2,345,UBERON:feces
000004602.1130434,Omnivore,39.7,-104.9,459,UBERON:feces
000004603.1053747,Omnivore,39.7,-104.9,801,UBERON:feces
000004611.1130245,Omnivore,45.5,-73.4,541,UBERON:feces
000004612.1076352,Omnivore,38.1,-84.5,422,UBERON:feces
000004613.1131734,Vegetarian but eat seafood,33.1,-117.2,361,UBERON:feces
000004616.1076325,Omnivore but no red meat,39.9,-105.0,480,UBERON:feces
000004618.1131914,Omnivore,32.0,-110.7,190,UBERON:feces
000004625.1131944,Omnivore,47.6,-122.6,8,UBERON:feces
000004625.1210901,Omnivore,47.6,-122.6,146,UBERON:feces
000004629.1257486,Omnivore,40.6,-73.9,468,UBERON:feces
000004631.1131889,Omnivore but no red meat,42.1,-88.0,448,UBERON:feces
000004633.1076440,Omnivore but no red meat,42.0,-87.7,10,UBERON:feces
000004633.1130011,Omnivore but no red meat,42.0,-87.7,267,UBERON:feces
000004636.1076424,Omnivore,42.2,-71.0,234,UBERON:feces
000004640.1076225,Omnivore but no red meat,40.8,-74.0,272,UBERON:feces
000004641.1076399,Omnivore,26.7,-80.1,313,UBERON:feces
000004642.1076446,Omnivore,40.2,-74.7,347,UBERON:feces
000004645.1131766,Omnivore,39.6,-104.9,633,UBERON:feces
000004650.1131819,Vegan,30.5,-97.7,391,UBERON:feces
000004651.1131564,Omnivore,47.8,-122.3,232,UBERON:feces
000004652.1076357,Omnivore,45.4,-122.8,321,UBERON:feces
000004654.1076358,Omnivore,42.2,-83.2,226,UBERON:feces
000004656.1076279,Omnivore,34.1,-84.3,239,UBERON:feces
000004659.1210528,Omnivore,40.7,-73.6,538,UBERON:feces
000004660.1076468,Omnivore but no red meat,37.0,-121.9,311,UBERON:feces
000004662.1076254,no_data,40.1,-74.9,2,UBERON:feces
000004662.1130115,no_data,40.1,-74.9,1,UBERON:feces
000004666.1130385,Omnivore,41.6,-86.7,225,UBERON:feces
000004667.1076264,Omnivore,28.5,-81.2,231,UBERON:feces
000004670.1076158,Omnivore,45.5,-122.7,751,UBERON:feces
000004671.1212965,Omnivore,34.4,-119.7,3,UBERON:feces
000004671.1261939,Omnivore,34.4,-119.7,4,UBERON:feces
000004672a.1131646,no_data,40.0,107.3,210,no_data
000004672b.1131772,no_data,40.0,107.3,222,no_data
000004676.1076360,Omnivore,39.5,-105.1,462,UBERON:feces
000004677.1076202,Omnivore,42.8,-71.0,481,UBERON:feces
000004679.1076461,Omnivore,40.9,-72.7,4,UBERON:feces
000004679.1130106,Omnivore,40.9,-72.7,427,UBERON:feces
000004680.1075883,Omnivore,41.5,-81.7,350,UBERON:feces
000004686.1076302,Omnivore but no red meat,32.8,-79.9,401,UBERON:feces
000004689.1053716,Omnivore,42.6,-73.8,271,UBERON:tongue
000004691.1076159,Omnivore,40.0,-75.3,354,UBERON:feces
000004692.1131854,Omnivore,37.9,-122.3,452,UBERON:feces
000004693.1130457,Omnivore,45.7,-121.5,617,UBERON:feces
000004694.1076305,Omnivore,34.1,-118.2,573,UBERON:feces
000004695.1076294,Omnivore,47.7,-122.2,12,UBERON:feces
000004695.1130010,Omnivore,47.7,-122.2,621,UBERON:feces
000004697.1076252,Omnivore,45.5,-122.6,247,UBERON:feces
000004699.1076394,Omnivore,47.7,-122.3,270,UBERON:feces
000004703.1131571,Omnivore,42.4,-71.2,302,UBERON:feces
000004705.1130352,Omnivore,47.7,-122.3,571,UBERON:feces
000004707.1076222,Omnivore,37.8,-122.3,582,UBERON:feces
000004709.1076180,Omnivore,45.6,-111.2,199,UBERON:feces
000004711.1076148,Omnivore,41.7,-91.5,3,UBERON:feces
000004714.1076253,Omnivore,42.9,-72.1,207,UBERON:feces
000004716.1076420,Omnivore,36.0,-79.0,355,UBERON:feces
000004719.1210736,Omnivore,42.8,-88.9,463,UBERON:feces
000004721.1131620,Omnivore,34.0,-118.5,526,UBERON:feces
000004726.1076189,Omnivore but no red meat,41.9,-87.7,6,UBERON:feces
000004726.1283113,Omnivore but no red meat,41.9,-87.7,556,UBERON:feces
000004730.1076349,Vegan,30.6,-87.0,550,UBERON:feces
000004731.1076409,Omnivore but no red meat,43.1,-74.3,577,UBERON:feces
000004734.1283118,Omnivore,34.1,-84.5,353,UBERON:feces
000004735.1076261,Omnivore,46.2,-119.3,498,UBERON:feces
000004736.1076315,Omnivore but no red meat,37.7,-89.2,620,UBERON:feces
000004737.1076217,Omnivore,41.6,-93.6,605,UBERON:feces
000004738.1076259,Omnivore,30.3,-97.7,706,UBERON:feces
000004744.1262044,Omnivore,39.2,-84.4,480,UBERON:feces
000004747.1131840,Omnivore,47.5,-122.2,428,UBERON:feces
000004749.1257330,Omnivore,46.5,-81.0,658,UBERON:feces
000004752.1076466,Omnivore,42.4,-71.2,307,UBERON:feces
000004753.1130558,Omnivore,42.4,-71.2,297,UBERON:feces
000004758.1076374,Omnivore,44.8,-91.5,581,UBERON:feces
000004759.1076327,Omnivore,44.8,-91.5,307,UBERON:feces
000004764.1259777,Omnivore,37.4,-122.2,289,UBERON:hand
000004765.1131661,Omnivore,37.4,-122.2,393,UBERON:feces
000004773.1076185,Omnivore,36.0,-84.3,207,UBERON:feces
000004774.1076460,Omnivore,37.9,-122.3,515,UBERON:feces
000004775.1131668,Omnivore,37.9,-122.3,394,UBERON:feces
000004780.1076163,Omnivore,41.5,-70.6,3,UBERON:feces
000004781.1076272,Omnivore,41.5,-70.6,544,UBERON:feces
000004782.1076257,Omnivore,40.8,-74.0,5,UBERON:feces
000004783.1076472,Omnivore,40.8,-74.0,342,UBERON:feces
000004786.1131888,Omnivore,46.7,-117.0,222,UBERON:feces
000004787.1131664,Omnivore,46.7,-117.0,321,UBERON:feces
000004790.1131967,Omnivore,43.0,-78.7,217,UBERON:feces
000004792.1131545,Omnivore,40.7,-73.9,264,UBERON:feces
000004793.1131586,Omnivore,40.7,-73.9,348,UBERON:feces
000004796.1076168,Omnivore,37.6,-122.4,436,UBERON:feces
000004797.1076177,Omnivore,37.6,-122.4,388,UBERON:feces
000004806.1210783,Omnivore,35.7,-105.9,292,UBERON:feces
000004807.1076183,Omnivore,35.7,-105.9,411,UBERON:feces
000004811.1076450,Omnivore,41.9,-87.6,345,UBERON:feces
000004812.1076384,Vegan,39.0,-77.0,339,UBERON:feces
000004813.1131936,Omnivore,39.0,-77.0,622,UBERON:feces
000004814.1131580,Vegetarian,30.2,-98.0,558,UBERON:feces
000004815.1213107,Vegetarian,30.2,-98.0,437,UBERON:feces
000004818.1076391,Vegan,37.7,-121.8,454,UBERON:feces
000004819.1076407,Omnivore,37.7,-121.8,414,UBERON:feces
000004820.1212987,Omnivore,34.3,-119.2,289,UBERON:feces
000004821.1213081,Omnivore,34.3,-119.2,861,UBERON:feces
000004822.1076432,Omnivore,24.7,-81.4,417,UBERON:feces
000004823.1076277,Omnivore,24.7,-81.4,259,UBERON:feces
000004830.1076138,Omnivore,47.7,-122.3,438,UBERON:feces
000004831.1076322,Vegetarian but eat seafood,47.7,-122.3,314,UBERON:feces
000004833.1076385,Omnivore,28.4,-81.5,589,UBERON:feces
000004836.1131522,Omnivore,39.7,-105.1,183,UBERON:feces
000004837.1131719,Omnivore,39.7,-105.1,306,UBERON:feces
000004846.1053763,Omnivore but no red meat,40.8,-74.0,670,UBERON:skin
000004847.1076145,Omnivore but no red meat,40.8,-74.0,384,UBERON:feces
000004848.1130372,Vegetarian but eat seafood,40.9,-73.4,321,UBERON:feces
000004849.1131676,Vegetarian but eat seafood,40.9,-73.4,205,UBERON:tongue
000004854.1053786,Omnivore,37.3,-121.9,135,UBERON:feces
000004855.1053784,Omnivore,37.3,-121.9,296,UBERON:feces
000004858.1076164,no_data,42.4,-76.5,170,UBERON:feces
000004859.1076231,Omnivore,42.4,-76.5,3,UBERON:feces
000004859.1130220,Omnivore,42.4,-76.5,362,UBERON:feces
000004860.1076235,Omnivore,41.3,-96.0,584,UBERON:feces
000004864.1076238,Omnivore,37.9,-122.3,236,UBERON:feces
000004865.1053870,Omnivore,37.9,-122.3,276,UBERON:tongue
000004872.1076287,Omnivore but no red meat,41.8,-87.9,389,UBERON:feces
000004873.1053915,Omnivore but no red meat,41.8,-87.9,192,UBERON:tongue
000004878.1131665,Omnivore,42.0,-88.3,143,UBERON:feces
000004879.1131805,Omnivore,42.0,-88.3,113,UBERON:tongue
000004880.1053936,no_data,33.9,-84.3,182,UBERON:feces
000004881.1076347,Omnivore,33.9,-84.3,307,UBERON:feces
000004886.1261777,Omnivore,33.6,-111.7,236,UBERON:feces
000004887.1261646,Omnivore,33.6,-111.7,211,UBERON:feces
000004888.fixed694,Omnivore,40.0,-105.2,709,UBERON:feces
000004889.fixed1048,Omnivore,40.0,-105.2,3,UBERON:feces
000004890.1076329,Omnivore,42.6,-70.9,556,UBERON:feces
000004891.1076474,Omnivore,42.6,-70.9,19,UBERON:feces
000004891.1130079,Omnivore,42.6,-70.9,475,UBERON:feces
000004894.1076204,Omnivore,37.8,-122.1,1,UBERON:feces
000004894.1130072,Omnivore,37.8,-122.1,418,UBERON:feces
000004896.1130003,Omnivore but no red meat,42.6,-73.8,197,UBERON:tongue
000004903.1131520,Omnivore,36.1,-115.2,162,UBERON:tongue
000004904.1130483,Omnivore,36.1,-115.2,236,UBERON:tongue
000004915.1076343,Omnivore,36.3,-95.6,530,UBERON:feces
000004916.1076313,Omnivore,36.3,-95.6,2,UBERON:feces
000004916.1130017,Omnivore,36.3,-95.6,401,UBERON:feces
000004917.1076276,Omnivore,36.3,-95.6,503,UBERON:feces
000004918.1130508,Omnivore,37.8,-122.4,600,UBERON:feces
000004919.1130014,Omnivore,37.8,-122.4,3,UBERON:feces
000004920.1130551,Omnivore,37.8,-122.4,175,UBERON:feces
000004921.1131622,Omnivore,37.4,-122.1,181,UBERON:tongue
000004922.1131561,Omnivore,37.4,-122.1,158,UBERON:feces
000004923.1131966,Omnivore,37.4,-122.1,148,UBERON:feces
000004924.1053834,Omnivore,30.2,-81.6,214,UBERON:skin
000004925.1053790,Omnivore,30.2,-81.6,226,UBERON:tongue
000004926.1076372,Omnivore,30.2,-81.6,2,UBERON:feces
000004926.1130303,Omnivore,30.2,-81.6,443,UBERON:feces
000004927.1131781,Omnivore,39.2,-85.9,214,UBERON:feces
000004928.1130090,Omnivore,39.2,-85.9,425,UBERON:hand
000004929.1130377,Omnivore,39.2,-85.9,363,UBERON:feces
000004930.1131602,Omnivore,45.5,-122.6,291,UBERON:feces
000004931.1131652,Omnivore,45.5,-122.6,151,UBERON:tongue
000004932.1131876,Omnivore,45.5,-122.6,117,UBERON:nostril
000004951.1076295,Omnivore but no red meat,38.3,-123.0,636,UBERON:feces
000004952.1076199,Omnivore but no red meat,38.3,-123.0,572,UBERON:feces
000004953.1053883,Omnivore but no red meat,38.3,-123.0,308,UBERON:tongue
000004971.1131691,Omnivore,42.2,-86.3,373,UBERON:feces
000004972.1131843,Omnivore,42.2,-86.3,541,UBERON:feces
000004973.1131789,Omnivore,42.2,-86.3,617,UBERON:feces
000004974.1131852,Omnivore,42.2,-86.3,578,UBERON:feces
000004979.1076191,Omnivore,37.3,-121.9,519,UBERON:feces
000004980.1076442,Omnivore,37.3,-121.9,194,UBERON:feces
000004984.1053908,Omnivore,42.1,-87.7,1072,UBERON:skin
000004985.1131745,Omnivore,42.1,-87.7,142,UBERON:feces
000004986.1053911,Omnivore,42.1,-87.7,295,UBERON:tongue
000005007.1130061,Omnivore,30.1,-90.1,284,UBERON:feces
000005008.1210535,Omnivore,30.1,-90.1,565,UBERON:feces
000005009.1257234,Omnivore,30.1,-90.1,413,UBERON:feces
000005010.1262045,Omnivore,30.1,-90.1,233,UBERON:feces
000005012.1131927,Omnivore,47.8,-122.3,12,UBERON:feces
000005012.1210853,Omnivore,47.8,-122.3,330,UBERON:feces
000005013.1130550,Omnivore,47.8,-122.3,375,UBERON:feces
000005014.1130182,Omnivore,47.8,-122.3,470,UBERON:feces
000005015.1076318,Omnivore,33.8,-84.3,569,UBERON:feces
000005016.1076421,Vegetarian,33.8,-84.3,388,UBERON:feces
000005017.1076470,Vegetarian,33.8,-84.3,311,UBERON:feces
000005019.1131737,Omnivore but no red meat,33.8,-84.3,446,UBERON:feces
000005020.1131526,Omnivore,33.8,-84.3,525,UBERON:feces
000005021.1130427,Omnivore,33.8,-84.3,1159,UBERON:hand
000005023.1130534,Omnivore,33.8,-84.3,3,UBERON:feces
000005024.1130237,Omnivore,33.8,-84.3,572,UBERON:feces
000005025.1130362,Omnivore,33.8,-84.3,280,UBERON:feces
000005026.1130493,Omnivore,33.8,-84.3,174,UBERON:feces
000005031.1076400,Omnivore,32.7,-117.2,557,UBERON:feces
000005032.1076246,Omnivore,32.7,-117.2,168,no_data
000005033.1076435,Omnivore,32.7,-117.2,508,UBERON:feces
000005034.1076350,Omnivore,32.7,-117.2,291,UBERON:feces
000005035.1076188,Omnivore,32.7,-117.2,274,UBERON:feces
000005036.1076255,Omnivore,32.7,-117.2,314,UBERON:feces
000005037.1076397,Omnivore,32.7,-117.2,368,UBERON:feces
000005038.1131951,Omnivore,42.6,-73.8,1,UBERON:feces
000005039.1076228,Omnivore,42.6,-73.8,481,UBERON:feces
000005041.1130541,Omnivore but no red meat,42.6,-73.8,274,UBERON:feces
000005059.1130255,Omnivore,40.9,-73.9,551,UBERON:hand
000005060.1130460,Omnivore,40.9,-73.9,458,UBERON:hand
000005061.1130129,Omnivore,40.9,-73.9,538,UBERON:skin
000005062.1131554,Omnivore,40.9,-73.9,212,UBERON:tongue
000005063.1131626,Omnivore,40.9,-73.9,612,UBERON:feces
000005064.1131663,Omnivore,41.4,-73.1,216,UBERON:tongue
000005065.1053744,Omnivore,41.4,-73.1,492,UBERON:hand
000005066.1053797,Omnivore,41.4,-73.1,465,UBERON:hand
000005067.1053894,Omnivore,41.4,-73.1,461,UBERON:skin
000005068.1076383,Omnivore,41.4,-73.1,568,UBERON:feces
000005069.1053832,Omnivore,32.8,-117.3,661,UBERON:skin
000005070.1053756,Omnivore,32.8,-117.3,759,UBERON:hand
000005071.1053849,Omnivore,32.8,-117.3,442,UBERON:hand
000005072.1131839,Omnivore,32.8,-117.3,315,UBERON:tongue
000005073.1076469,Omnivore,32.8,-117.3,582,UBERON:feces
000005079.1053800,Omnivore,42.4,-71.1,591,UBERON:skin
000005080.1076430,Omnivore,42.4,-71.1,739,UBERON:feces
000005081.1053770,Omnivore,42.4,-71.1,555,UBERON:hand
000005082.1131659,Omnivore,42.4,-71.1,246,UBERON:tongue
000005083.1053748,Omnivore,42.4,-71.1,489,UBERON:hand
000005084.1053897,Omnivore,39.1,-76.8,661,UBERON:hand
000005085.1076193,Omnivore,39.1,-76.8,348,UBERON:feces
000005086.1053839,Omnivore,39.1,-76.8,594,UBERON:hand
000005087.1131800,Omnivore,39.1,-76.8,136,UBERON:tongue
000005088.1053710,Omnivore,39.1,-76.8,568,UBERON:skin
000005159.1053709,Vegetarian but eat seafood,40.8,-89.7,575,UBERON:hand
000005160.1053828,Vegetarian but eat seafood,40.8,-89.7,612,UBERON:hand
000005161.1053863,Vegetarian but eat seafood,40.8,-89.7,540,UBERON:skin
000005162.1053810,Vegetarian but eat seafood,40.8,-89.7,199,UBERON:tongue
000005163.1076142,Vegetarian but eat seafood,40.8,-89.7,423,UBERON:feces
000005164.1053861,Omnivore,35.1,-106.6,215,UBERON:tongue
000005165.1053859,Omnivore,35.1,-106.6,668,UBERON:hand
000005166.1053826,Omnivore,35.1,-106.6,522,UBERON:hand
000005167.1053923,Omnivore,35.1,-106.6,217,UBERON:skin
000005168.1283129,Omnivore,35.1,-106.6,700,UBERON:feces
000005219.1053934,Omnivore,38.8,-90.6,770,UBERON:hand
000005220.1053905,Omnivore,38.8,-90.6,256,UBERON:tongue
000005221.1053844,Omnivore,38.8,-90.6,551,UBERON:hand
000005222.1053872,Omnivore,38.8,-90.6,637,UBERON:skin
000005223.1076401,Omnivore,38.8,-90.6,274,UBERON:feces
000005224.1130562,Omnivore,42.9,-71.3,427,UBERON:hand
000005225.1130388,Omnivore,42.9,-71.3,444,UBERON:hand
000005226.1130391,Omnivore,42.9,-71.3,170,UBERON:tongue
000005227.1130020,Omnivore,42.9,-71.3,334,UBERON:skin
000005228.1130467,Omnivore,42.9,-71.3,145,UBERON:feces
000005234.1130060,Omnivore,34.0,-118.4,455,UBERON:hand
000005235.1053867,Omnivore,34.0,-118.4,333,UBERON:hand
000005236.1053902,Omnivore,34.0,-118.4,387,UBERON:skin
000005237.1053927,Omnivore,34.0,-118.4,270,UBERON:tongue
000005238.1076291,Omnivore,34.0,-118.4,580,UBERON:feces
000005259.1131763,Omnivore,39.2,-77.3,109,UBERON:tongue
000005260.1053749,Omnivore,39.2,-77.3,303,UBERON:hand
000005261.1053774,Omnivore,39.2,-77.3,418,UBERON:hand
000005262.1053760,Omnivore,39.2,-77.3,354,UBERON:skin
000005263.1076371,Omnivore,39.2,-77.3,2,UBERON:feces
000005263.1283120,Omnivore,39.2,-77.3,586,UBERON:feces
000005289.1053933,Omnivore,39.1,-76.6,872,UBERON:skin
000005290.1053869,Omnivore,39.1,-76.6,1089,UBERON:hand
000005291.1053887,Omnivore,39.1,-76.6,927,UBERON:hand
000005292.1053943,Omnivore,39.1,-76.6,345,UBERON:tongue
000005293.1076162,Omnivore,39.1,-76.6,303,UBERON:feces
000005359.1053955,Omnivore,32.8,-117.3,467,UBERON:skin
000005360.1076245,Omnivore,32.8,-117.3,493,UBERON:feces
000005361.1053822,Omnivore,32.8,-117.3,818,UBERON:hand
000005362.1131922,Omnivore,32.8,-117.3,277,UBERON:tongue
000005363.1053937,Omnivore,32.8,-117.3,651,UBERON:hand
000005419.1053903,Omnivore,43.6,-72.2,1166,UBERON:hand
000005420.1053848,Omnivore,43.6,-72.2,1113,UBERON:skin
000005421.1053753,Omnivore,43.6,-72.2,720,UBERON:hand
000005422.1131902,Omnivore,43.6,-72.2,215,UBERON:tongue
000005429.1053715,Vegetarian but eat seafood,42.3,-71.1,313,UBERON:tongue
000005430.1053818,Vegetarian but eat seafood,42.3,-71.1,960,UBERON:hand
000005431.1053798,Vegetarian but eat seafood,42.3,-71.1,722,UBERON:hand
000005432.1053792,Vegetarian but eat seafood,42.3,-71.1,897,UBERON:skin
000005433.1076267,Vegetarian but eat seafood,42.3,-71.1,334,UBERON:feces
000005454.1131868,Omnivore,42.4,-71.7,268,UBERON:feces
000005455.1130556,Omnivore,42.4,-71.7,165,UBERON:tongue
000005456.1130142,Omnivore,42.4,-71.7,1,UBERON:hand
000005457.1130021,Omnivore,42.4,-71.7,2,UBERON:hand
000005458.1130270,Omnivore,42.4,-71.7,292,UBERON:skin
000005549.1130410,Omnivore,41.7,-88.1,255,UBERON:skin
000005550.1130032,Omnivore,41.7,-88.1,256,UBERON:hand
000005551.1130113,Omnivore,41.7,-88.1,256,UBERON:hand
000005552.1131930,Omnivore,41.7,-88.1,914,UBERON:tongue
000005553.1131810,Omnivore,41.7,-88.1,456,UBERON:feces
000005554.1076439,Omnivore,45.6,-122.4,613,UBERON:feces
000005555.1053864,Omnivore,45.6,-122.4,713,UBERON:skin
000005556.1053713,Omnivore,45.6,-122.4,347,UBERON:hand
000005557.1053776,Omnivore,45.6,-122.4,2,UBERON:hand
000005558.1053742,Omnivore,45.6,-122.4,216,UBERON:tongue
000005564.1130092,Omnivore,42.3,-71.0,548,UBERON:skin
000005565.1130308,Omnivore,42.3,-71.0,849,UBERON:hand
000005566.1130289,Omnivore,42.3,-71.0,222,UBERON:hand
000005567.1131812,Omnivore,42.3,-71.0,107,UBERON:tongue
000005568.1053945,Omnivore,42.3,-71.0,7,UBERON:feces
000005569.1053771,Vegetarian,41.8,-71.4,563,UBERON:skin
000005570.1053761,Vegetarian,41.8,-71.4,535,UBERON:hand
000005571.1076389,Vegetarian,41.8,-71.4,288,UBERON:feces
000005572.1053791,Vegetarian,41.8,-71.4,198,UBERON:tongue
000005573.1053893,Vegetarian,41.8,-71.4,604,UBERON:hand
000005574.1053806,Omnivore,38.9,-92.2,357,UBERON:skin
000005575.1053882,Omnivore,38.9,-92.2,226,UBERON:tongue
000005576.1076167,Omnivore,38.9,-92.2,555,UBERON:feces
000005577.1130234,Omnivore,38.9,-92.2,2,UBERON:hand
000005578.1053814,Omnivore,38.9,-92.2,582,UBERON:hand
000005594.1130314,Omnivore,39.3,-84.4,405,UBERON:skin
000005595.1130452,Omnivore,39.3,-84.4,204,UBERON:tongue
000005596.1130225,Omnivore,39.3,-84.4,406,UBERON:feces
000005597.1130117,Omnivore,39.3,-84.4,382,UBERON:hand
000005598.1130569,Omnivore,39.3,-84.4,1187,UBERON:hand
000005634.1053886,Omnivore,33.8,-84.3,363,UBERON:skin
000005635.1053833,Omnivore,33.8,-84.3,329,UBERON:tongue
000005636.1053788,Omnivore,33.8,-84.3,983,UBERON:hand
000005637.1053909,Omnivore,33.8,-84.3,1032,UBERON:hand
000005638.1053718,Omnivore,33.8,-84.3,343,UBERON:feces
000005644.1053889,Omnivore,42.1,-80.2,981,UBERON:skin
000005645.1053736,Omnivore,42.1,-80.2,906,UBERON:hand
000005646.1053778,Omnivore,42.1,-80.2,948,UBERON:hand
000005647.1131713,Omnivore,42.1,-80.2,198,UBERON:tongue
000005648.1076376,Omnivore,42.1,-80.2,365,UBERON:feces
000005649.1053941,Omnivore,42.1,-80.2,209,UBERON:tongue
000005650.1053881,Omnivore,42.1,-80.2,792,UBERON:hand
000005651.1053932,Omnivore,42.1,-80.2,804,UBERON:hand
000005652.1053862,Omnivore,42.1,-80.2,785,UBERON:skin
000005653.1076283,Omnivore,42.1,-80.2,579,UBERON:feces
000005654.1053843,Vegetarian,40.8,-77.9,263,UBERON:hand
000005655.1076197,Vegetarian,40.8,-77.9,516,UBERON:feces
000005656.1053921,Vegetarian,40.8,-77.9,258,UBERON:hand
000005657.1053913,Vegetarian,40.8,-77.9,240,UBERON:skin
000005658.1053785,Vegetarian,40.8,-77.9,271,UBERON:tongue
000005660.1076378,Vegan,33.9,-116.6,261,UBERON:feces
000005662.1130027,Omnivore,41.6,-72.8,349,UBERON:feces
000005685.1131955,Omnivore,58.5,10.9,1,UBERON:feces
000005685.1210575,Omnivore,59.9,10.7,8,UBERON:feces
000005686.1053891,Omnivore,58.5,10.9,690,UBERON:feces
000005692.1210866,Omnivore,-36.8,144.3,342,UBERON:feces
000005697.1130074,Omnivore,51.5,-0.6,521,UBERON:feces
000005702.1131693,Omnivore,-32.0,115.8,349,UBERON:feces
000005703.1131535,Omnivore,-32.0,115.8,465,UBERON:feces
000005712.1130560,Omnivore,35.7,139.7,379,UBERON:feces
000005713.1131815,Omnivore,35.7,139.7,143,UBERON:feces
000005716.1131599,Omnivore,52.5,13.4,289,UBERON:feces
000005717.1130018,Omnivore,52.5,13.4,145,UBERON:tongue
000005720.1210685,Omnivore,51.5,-0.2,262,UBERON:feces
000005721.1210922,Omnivore,51.5,-0.2,162,UBERON:feces
000005725.1131948,Omnivore,-30.6,153.0,428,UBERON:feces
